HUZ649701.90286	gi|1001942081|gb|131489-132374(+)
CHARM066_V1.28962	mge|2485.1|24004-25567(-)
2514446154	mge|2571.1|916-1150(+)
650310730	mge|2628.1|40948-42097(-)
CHARM198_V1.11712	mge|2636.1|46196-46850(+)
HUZ239360.54725	mge|2636.1|48447-50901(+)
648317276	mge|2651.1|2060-2789(-)
HUZ619089.5337	mge|2654.1|17474-20309(+)
CHARM198_V1.16299	mge|2654.1|17474-20309(+)
HUZ616187.4040	mge|2667.1|8121-9750(-)
401_022506.1220	mge|2667.1|8121-9750(-)
HMPREF0294_2641	mge|2689.1|0-897(-)
HMPREF0693_0100	mge|2693.1|479573-480251(+)
CHARM180_V1.34136	mge|2693.1|508301-509132(+)
642720957	mge|2693.1|511346-512135(-)
HUZ432163.52168	mge|2693.1|527472-530103(-)
CHARM180_V1.35421	mge|2693.1|527472-530103(-)
HUZ239360.46805	mge|2693.1|527472-530103(-)
648681250	mge|2693.1|5372286-5372493(-)
HUZ613213.26486	mge|2693.1|539018-540218(-)
CHARM180_V1.46763	mge|2693.1|5597355-5598876(+)
CHARM010_V1.22873	mge|2693.1|5831519-5833334(+)
EMO9W8D7.27030	mge|2693.1|5981099-5983595(+)
HUZ604500.2287	mge|2693.1|5981099-5983595(+)
VM033.47619	mge|2693.1|5981099-5983595(+)
414_050806.56364	mge|2693.1|5981099-5983595(+)
2600717180	mge|2693.1|598329-599580(+)
414_050806.3640	mge|2693.1|598329-599580(+)
2517208882	mge|2693.1|6017005-6017776(-)
414_050806.57840	mge|2693.1|6374625-6375444(+)
2534279478	mge|2693.1|6529175-6529709(+)
HUZ436911.67745	mge|2693.1|6560419-6563488(-)
CHARM020_V1.10485	mge|2693.1|657260-658856(+)
HUZ647004.73631	mge|2693.1|6609010-6610177(-)
HUZ432163.59087	mge|2693.1|6889994-6893489(+)
CHARM018_V1.15462	mge|2693.1|6904201-6904996(-)
HUZ252644.12514	mge|2693.1|7285443-7286334(+)
HUZ239420.38443	mge|2693.1|7526372-7528430(+)
HUZ647004.75023	mge|2693.1|7540259-7541498(+)
HUZ648375.16688	mge|2693.1|7687252-7689115(-)
2509602176	mge|2693.1|778191-779163(-)
HUZ235500.32393	mge|2693.1|778191-779163(-)
HUZ252652.17164	mge|2693.1|778191-779163(-)
414_050806.37641	mge|2693.1|7936103-7937741(+)
SRS063417.82-T1-C	mge|2693.1|8223014-8224475(-)
HUZ615540.8556	mge|2693.1|8223014-8224475(-)
VM033.47193	mge|2693.1|8225949-8226396(+)
CHARM170_V2.41630	mge|2693.1|8238611-8241194(-)
VM033.42307	mge|2693.1|935654-937367(-)
HUZ647004.59508	mge|2708.1|19698-20097(-)
HUZ437972.33579	mge|2708.1|37216-38275(+)
HUZ649701.95734	mge|2712.1|8337-8763(+)
HUZ649701.97641	mge|2753.1|12708-14082(-)
HUZ240763.1909	mge|2753.1|26262-26730(+)
CHARM150_V2.8314	mge|2753.1|37043-38111(-)
2600966834	mge|2485.1|17483-20324(+)
2511724443	mge|2693.1|5981099-5983595(+)
CHARM018_V1.5039	mge|2155.1|16492-18775(-)
2601475629	gi|552946353|gb|87629-89729(+)
2539550888	mge|2693.1|6541786-6543883(+)
HMPREF0693_2201	mge|2598.1|23268-25209(-)
2530839313	mge|2667.1|8121-9750(-)
2520353938	mge|2693.1|657260-658856(+)
HMPREF0693_1650	mge|2693.1|7910815-7913734(-)
648783680	mge|2485.1|17483-20324(+)
2514524021	mge|2693.1|598329-599580(+)
CHARM144_V2.32165	mge|2693.1|598329-599580(+)
648047935	mge|2276.1|22769-23963(+)
2541320579	mge|2364.1|11943-13206(+)
647446226	mge|2693.1|6609010-6610177(-)
HUZ649659.4243	mge|2693.1|6609010-6610177(-)
CHARM180_V1.18092	mge|2693.1|946801-947809(-)
AYAC03W2D1.29496	mge|2364.1|11943-13206(+)
645289117	mge|2693.1|7141030-7142923(+)
2539550485	mge|2489.1|22783-24520(-)
CHARM170_V2.26030	mge|2276.1|1761-3696(+)
648825910	mge|2654.1|23992-25555(-)
2536321930	mge|2693.1|680265-681918(-)
HMP40_W6D2.26043	mge|2090.1|71567-73100(+)
2515627816	mge|2693.1|7902748-7903525(-)
HUZ608549.2450	mge|2090.1|71567-73100(+)
HUZ620284.41735	mge|2124.1|1747-3682(+)
642723454	mge|2693.1|7539148-7539907(+)
2512391451	mge|2693.1|7539148-7539907(+)
CHARM110_V2.11801	mge|2754.1|4755-5529(+)
2541322049	gi|353351569|dbj|131728-133879(-)
647493018	gi|761545084|gb|37491-39663(-)
2600965829	mge|2693.1|6541786-6543883(+)
HUZ252644.31088	gi|937264049|gb|126993-127668(+)
HMPREF1341_02487	gi|937264049|gb|126993-127668(+)
CHARM010_V1.21722	mge|2090.1|70093-71551(+)
HMPREF0010_03643	mge|2693.1|7439636-7440995(+)
2534279145	mge|2693.1|7439636-7440995(+)
HUZ621105.5492	gi|953700706|gb|34436-35696(+)
HUZ644405.44020	gi|761545084|gb|37491-39663(-)
651200839	mge|2693.1|778191-779163(-)
SRS051505.858-T1-C	mge|2753.1|15364-16942(-)
2539990582	mge|2461.1|23786-24374(+)
HMPREF0514_11740	mge|2461.1|23786-24374(+)
414_050806.43147	mge|2479.1|14020-15565(+)
HUZ243262.4800	mge|2155.1|16492-18775(-)
2535592048	mge|2485.1|17483-20324(+)
HUZ620284.23544	mge|2754.1|4755-5529(+)
651625937	mge|2667.1|8121-9750(-)
HUZ432496.26402	gi|761545084|gb|37491-39663(-)
CHARM110_V2.9896	gi|45504618|gb|20035-20593(+)
2625473039	gi|873379035|gb|94481-95024(-)
2520354850	mge|2522.1|21467-22163(-)
642759316	mge|2693.1|8221391-8222957(-)
2535540906	mge|2746.1|30791-31832(+)
HUZ612660.9000	gi|448937671|gb|32737-33700(-)
VM033.26455	gi|545609259|gb|10397-13304(+)
HUZ621105.17947	mge|2693.1|8479624-8480671(-)
CHARM010_V1.10055	mge|2693.1|7526372-7528430(+)
AYAC03W2D1.21230	gi|694817980|gb|71329-72112(-)
HUZ243262.1496	mge|2067.1|40798-42283(+)
HMPREF9689_04678	mge|2693.1|6645238-6646198(-)
VM033.2131	gi|314912616|gb|130-652(+)
HUZ613213.25378	gi|451936982|gb|16000-17221(-)
CHARM010_V1.36665	mge|2639.1|5776-7162(-)
HUZ235500.19877	mge|2155.1|16492-18775(-)
CHARM066_V2.37343	gi|84570702|dbj|35422-35887(+)
647042229	gi|451937291|gb|6525-7389(-)
648816802	gi|525334607|gb|9-474(+)
HUZ619698.7205	mge|2410.1|13179-14286(-)
CHARM180_V2.46060	mge|2090.1|71567-73100(+)
HUZ614244.26944	mge|2327.1|516-1623(+)
2543465962	mge|2455.1|6156-6597(-)
648316427	mge|2693.1|598329-599580(+)
2600975173	mge|2667.1|8121-9750(-)
CHARM144_V2.13084	mge|2667.1|8121-9750(-)
HUZ239360.26816	mge|2667.1|8121-9750(-)
414_050806.5069	mge|2364.1|11943-13206(+)
2530838769	mge|2455.1|18649-19855(-)
HUZ621105.4311	gi|314912616|gb|130-652(+)
HUZ650140.18187	gi|451937037|gb|4185-4935(-)
CHARM018_V1.18601	gi|921957892|gb|23522-23936(-)
2638610902	mge|2455.1|6156-6597(-)
2638611923	mge|2455.1|6156-6597(-)
HUZ621105.7917	gi|347449230|gb|53762-55817(+)
2602356222	gi|38731416|gb|90-1266(-)
HMPREF0514_11156	mge|2693.1|6609010-6610177(-)
EMO9W9D3.8203	mge|2693.1|6609010-6610177(-)
SRS055298.2307-T1-C	gi|38731416|gb|21089-22025(+)
HUZ436911.33754	gi|451939597|gb|24498-25779(-)
HUZ650140.25774	mge|2693.1|6302490-6303531(-)
CHARM066_V2.37021	mge|2693.1|778191-779163(-)
2514649375	mge|2693.1|847551-848640(-)
HUZ651102.46110	mge|2725.1|18446-19751(-)
HUZ612660.1153	mge|2260.1|0-771(-)
CHARM148_V2.2030	gi|5730257|emb|20182-22057(+)
CHARM018_V2.50631	gi|1003304299|gb|75225-76485(-)
CHARM154_V2.29754	gi|392284348|gb|42674-44024(+)
HUZ651102.46574	gi|50261575|gb|9410-10598(-)
VM033.23235	mge|2655.1|23890-24268(+)
HUZ270021.62158	mge|2693.1|5981099-5983595(+)
HUZ237575.18569	mge|2410.1|13179-14286(-)
HUZ243262.6263	mge|2410.1|13179-14286(-)
SRS056695.1995-T1-C	gi|451937291|gb|8608-9247(-)
CHARM018_V2.48031	gi|45504618|gb|18736-19135(+)
642759664	mge|2103.1|9886-10588(-)
645291149	mge|2391.1|3606-5064(-)
HUZ239360.11607	mge|2693.1|6881330-6883553(+)
HUZ614244.30606	mge|2736.1|2972-5570(-)
2515430416	gi|552946353|gb|87629-89729(+)
CHARM180_V2.32662	gi|310657179|gb|35141-36410(-)
2511724877	gi|378408798|gb|0-432(+)
HMP40_W6D2.24007	gi|525334607|gb|9-474(+)
CHARM144_V2.51873	gi|921957552|gb|34044-34899(-)
CHARM126_V2.6874	mge|2693.1|598329-599580(+)
HUZ648786.4840	gi|50261575|gb|33267-34509(+)
650088761	mge|2693.1|7083766-7085098(+)
EMO9W8D7.20782	gi|505833817|gb|59250-60204(+)
HUZ270022.63317	gi|694818203|gb|1690-2815(+)
VM027.9807	gi|735998139|gb|1681-2716(+)
2512480101	gi|823081200|gb|20152-20971(+)
401_022506.5436	mge|2090.1|55208-56324(+)
HUZ614244.19840	mge|2260.1|6931-8854(-)
401_030106.6596	mge|2393.1|24317-25952(-)
HUZ270022.29371	mge|2497.1|23688-24753(-)
HUZ265136.3440	mge|2693.1|7222882-7224241(+)
HUZ620284.18193	gi|953699450|gb|20729-21809(+)
HMP40_W6D2.30243	mge|2693.1|7141030-7142923(+)
HUZ239420.14331	mge|2708.1|37216-38275(+)
HMPREF0514_10330	gi|38731487|gb|38439-39372(+)
445_020507.7091	mge|2137.1|0-1068(-)
CHARM010_V1.2493	mge|2137.1|0-1068(-)
HMPREF0358_4364	mge|2693.1|6646220-6647201(-)
HUZ433466.25363	gi|823079903|gb|107-2234(+)
HUZ647004.67181	mge|2249.1|6460-7969(-)
HUZ436911.29642	mge|2276.1|15628-17794(+)
HMPREF9689_05220	mge|2441.1|45252-45564(-)
HUZ240763.4778	mge|2693.1|8238611-8241194(-)
644320564	gi|353351569|dbj|131728-133879(-)
HUZ243262.2248	mge|2090.1|71567-73100(+)
642722981	mge|2693.1|5599093-5600920(-)
CHARM018_V2.45376	gi|664680482|gb|8492-11399(+)
CHARM066_V2.45812	mge|2090.1|55208-56324(+)
2600978433	mge|2693.1|7240017-7241286(+)
2536319868	mge|2693.1|6541786-6543883(+)
2507121884	mge|2693.1|5849390-5850305(+)
HUZ649701.62494	gi|1033016275|gb|24082-24553(-)
401_022506.11183	gi|347449230|gb|206544-207372(+)
HUZ239360.58879	gi|601126953|gb|21854-22412(-)
CHARM180_V1.30033	gi|732169390|emb|37811-38216(+)
CHARM018_V2.55327	gi|770938334|gb|50183-51122(+)
HMPREF0358_3238	gi|928543518|gb|40251-40554(-)
HUZ239360.55140	mge|2090.1|79460-80147(+)
HMPREF0693_3549	mge|2538.1|6428-6725(+)
HUZ648786.57624	mge|2723.1|5939-6875(-)
646148890	mge|2090.1|70093-71551(+)
645007050	mge|2090.1|70093-71551(+)
CHARM126_V2.381	gi|5730257|emb|22244-23438(+)
647851901	gi|89891904|gb|13352-13970(+)
HUZ436544.30236	mge|2456.1|1287-2940(-)
HMPREF9689_03377	mge|2693.1|7543798-7544398(+)
650089046	mge|2705.1|19572-20157(+)
647444980	mge|2155.1|16492-18775(-)
2597908357	mge|2657.1|17980-19672(+)
CHARM144_V2.36829	mge|2276.1|9793-10075(+)
CHARM066_V2.27390	mge|2348.1|0-327(-)
HUZ270021.21566	mge|2615.1|10528-11371(+)
401_022506.11620	mge|2693.1|4418218-4420954(+)
VM319.50306	mge|2693.1|6637716-6639522(+)
2517207347	mge|2693.1|6783273-6784125(-)
HUZ268380.8211	mge|2693.1|6930362-6931853(+)
HMPREF0693_2042	mge|2746.1|39983-40304(+)
HMPREF0308_0766	mge|2615.1|10528-11371(+)
HUZ647004.55196	mge|2296.1|16744-18109(+)
HMPREF9689_05131	mge|2693.1|657260-658856(+)
HMPREF9694_03509	mge|2693.1|657260-658856(+)
HUZ621105.25985	gi|408732219|gb|33373-33691(-)
HUZ235500.40046	gi|451939597|gb|45234-46302(-)
HUZ235500.37199	gi|952093800|gb|30418-31486(+)
HUZ432163.48816	mge|2440.1|20715-21681(-)
HUZ649360.8386	mge|2693.1|6559315-6560335(+)
HUZ270021.69026	mge|2693.1|8238611-8241194(-)
2512391122	mge|2693.1|658875-660165(+)
2539291607	mge|2693.1|658875-660165(+)
HUZ650836.2260	gi|62086025|gb|25882-26860(-)
2539291779	mge|2152.1|13074-13593(-)
HMPREF0693_1477	mge|2693.1|7962195-7963260(+)
HUZ651102.51919	gi|294478921|gb|28567-29188(-)
2536321756	gi|729029461|gb|46078-46336(-)
CHARM018_V2.61929	gi|735997577|gb|58681-59494(-)
401_030106.4891	gi|761545084|gb|37491-39663(-)
HUZ237575.54318	mge|2090.1|71567-73100(+)
2515631557	mge|2199.1|13632-13911(-)
2600971802	mge|2693.1|7240017-7241286(+)
CHARM066_V2.52707	gi|915984211|gb|37953-41433(-)
2520352584	mge|2693.1|7114995-7116522(+)
648681006	gi|761545084|gb|37491-39663(-)
HMPREF9689_02385	mge|2067.1|22623-24072(-)
CHARM018_V2.44233	mge|2124.1|1747-3682(+)
HUZ621105.4925	mge|2251.1|0-945(+)
650244753	mge|2262.1|43523-44480(-)
648833071	gi|1033016275|gb|8823-10149(-)
CHARM018_V2.3224	gi|384939229|gb|30286-30538(+)
VM033.10336	gi|451936982|gb|11133-11373(-)
CHARM170_V2.49851	gi|919050038|gb|34721-35798(+)
CHARM170_V2.47550	gi|95832054|gb|58390-60988(-)
650312855	mge|2352.1|1666-1936(+)
2600967010	mge|2455.1|63684-64392(-)
HUZ644927.6543	mge|2693.1|598329-599580(+)
VM033.43646	mge|2693.1|6560419-6563488(-)
2600979515	mge|2693.1|6609010-6610177(-)
2512448401	mge|2693.1|7539998-7540238(+)
648681111	mge|2721.1|10290-11049(+)
414_050806.13520	mge|2667.1|8121-9750(-)
HUZ237575.31126	mge|2438.1|5771-7157(-)
2520356204	mge|2693.1|6085996-6086704(+)
HMPREF0358_1187	mge|2693.1|6085996-6086704(+)
HMPREF0693_3392	mge|2693.1|6085996-6086704(+)
2535540232	gi|378408919|gb|31925-32399(+)
HUZ436420.10268	gi|525334607|gb|9-474(+)
CHARM066_V1.48373	mge|2198.1|19021-19882(-)
HUZ235500.39270	mge|2455.1|1989-3552(-)
2515626905	mge|2693.1|6524983-6526429(-)
2539551927	mge|2753.1|15364-16942(-)
CHARM020_V2.292	gi|169260705|gb|2924-3149(+)
SRS049237.3937-T1-C	gi|169260705|gb|2924-3149(+)
647447373	gi|451937291|gb|6525-7389(-)
HUZ651102.53478	gi|50261575|gb|9410-10598(-)
HUZ605895.4242	gi|928541549|gb|58772-59726(+)
CHARM018_V2.24862	mge|2087.1|24598-24841(-)
VM031.11518	mge|2489.1|22783-24520(-)
647492968	mge|2489.1|22783-24520(-)
HUZ252652.15589	mge|2657.1|7507-7780(+)
CHARM066_V1.49974	mge|2693.1|657260-658856(+)
CHARM020_V1.10519	mge|2693.1|6637716-6639522(+)
HMPREF0358_1856	mge|2713.1|7056-7623(+)
HUZ421340.2957	mge|2762.1|8640-12438(+)
2541321212	mge|2762.1|8640-12438(+)
HUZ614226.19518	mge|2762.1|8640-12438(+)
646605804	mge|2090.1|71567-73100(+)
EM06W5D5.1146	mge|2090.1|71567-73100(+)
HUZ239420.17794	mge|2654.1|17474-20309(+)
2539552887	mge|2693.1|6541786-6543883(+)
414_050806.5959	mge|2693.1|6541786-6543883(+)
CHARM018_V2.39010	mge|2485.1|17483-20324(+)
HUZ651102.29658	mge|2693.1|7526372-7528430(+)
HUZ239360.63841	gi|154622687|gb|129708-130476(-)
2520353625	gi|378565181|gb|21811-22066(+)
414_050806.21208	gi|396576808|emb|25917-26787(-)
HUZ252644.24914	mge|2090.1|70093-71551(+)
2546876512	mge|2428.1|16463-16700(+)
HUZ643630.47465	mge|2621.1|38965-40972(+)
HUZ647004.69163	mge|2693.1|6041828-6042779(-)
CHARM154_V1.3500	mge|2693.1|6559315-6560335(+)
414_050806.36781	mge|2693.1|6637716-6639522(+)
651115057	mge|2693.1|7240017-7241286(+)
650431552	mge|2693.1|778191-779163(-)
414_050806.45308	mge|2693.1|8115836-8116577(-)
HUZ243261.4852	mge|2693.1|8223014-8224475(-)
2625473460	mge|2667.1|8121-9750(-)
2536322313	mge|2672.1|90991-92203(+)
644254631	mge|2672.1|90991-92203(+)
2515624835	mge|2693.1|7733973-7734591(-)
2539291468	mge|2693.1|8357130-8358360(+)
CHARM198_V1.29698	gi|293338426|gb|557-2168(+)
HUZ252644.44358	gi|525334607|gb|9-474(+)
HUZ237575.42460	mge|2327.1|516-1623(+)
CHARM018_V2.37780	mge|2393.1|18386-19406(-)
CHARM010_V1.33380	gi|396576808|emb|25917-26787(-)
423_071706.4630	mge|2693.1|6609010-6610177(-)
2600966379	mge|2090.1|71567-73100(+)
HUZ648375.5724	mge|2090.1|71567-73100(+)
2541319393	mge|2693.1|6541786-6543883(+)
CHARM066_V2.32414	mge|2090.1|71567-73100(+)
2512481334	gi|190014409|emb|23400-23814(+)
HUZ612660.2230	gi|448937671|gb|1814-3869(-)
414_050806.57300	mge|2140.1|4143-4650(-)
2535271471	mge|2262.1|43523-44480(-)
2626223062	mge|2262.1|43523-44480(-)
VM090.1459	mge|2262.1|43523-44480(-)
CHARM018_V2.33678	mge|2428.1|16463-16700(+)
2515675629	mge|2655.1|23653-23839(+)
2541321846	mge|2693.1|6541786-6543883(+)
CHARM170_V1.28341	mge|2693.1|7141030-7142923(+)
HMPREF0308_1010	mge|2693.1|748953-749712(-)
HUZ616187.7604	mge|2693.1|8238611-8241194(-)
648047954	mge|2428.1|2755-5014(-)
HUZ649701.46177	gi|919050038|gb|33408-34719(+)
2600972492	gi|154622687|gb|129708-130476(-)
646637880	gi|379979844|gb|26800-27166(+)
CHARM144_V2.20375	gi|729029932|gb|62725-63295(+)
CHARM154_V2.32173	mge|2276.1|22060-22750(+)
HUZ252652.16408	mge|2489.1|22783-24520(-)
HMPREF0693_3552	mge|2538.1|4311-4884(+)
HMPREF1372_00032	mge|2739.1|6795-9585(-)
2535540223	gi|306021309|gb|123214-125326(-)
HMPREF1341_02026	gi|258598076|gb|9729-10188(+)
HMPREF1382_03108	gi|270209543|gb|4021-4207(+)
EM02W9D2.46649	gi|301153599|gb|156648-157239(+)
2600969475	gi|343178336|emb|87710-88634(+)
HUZ618760.4653	gi|343178336|emb|87710-88634(+)
2536314126	gi|402760744|gb|17664-17844(-)
CHARM144_V1.3176	gi|529678971|gb|36765-36966(-)
HUZ436544.42550	mge|2276.1|20815-22060(+)
CHARM018_V2.15733	mge|2455.1|19874-20564(-)
645289474	mge|2693.1|5859015-5859555(-)
HUZ608549.17222	mge|2693.1|5981099-5983595(+)
2515430302	mge|2693.1|598329-599580(+)
CHARM066_V2.56048	mge|2693.1|6302490-6303531(-)
2514524944	mge|2693.1|6529175-6529709(+)
HUZ252644.58459	mge|2693.1|7096747-7097782(+)
HUZ613213.28827	mge|2693.1|723726-725037(-)
CHARM018_V2.60600	mge|2693.1|7962195-7963260(+)
HUZ647004.77112	mge|2693.1|7962195-7963260(+)
642761221	mge|2293.1|19266-20172(-)
642721292	mge|2693.1|572657-574112(+)
CHARM170_V2.46216	gi|52631296|gb|12706-14929(+)
2517208766	mge|2693.1|5599093-5600920(-)
CHARM018_V2.20511	mge|2276.1|15628-17794(+)
HMPREF1341_02024	gi|270209418|gb|22947-23304(+)
644276037	gi|451936982|gb|11365-11704(-)
2541320990	gi|746947654|gb|21432-21768(-)
SRS016191.615-T1-C	mge|2336.1|10649-11666(-)
HUZ239360.56388	mge|2485.1|7839-8673(+)
2514650406	mge|2693.1|7741631-7742318(+)
HUZ252652.16679	mge|2693.1|8444200-8446504(-)
651501439	mge|2693.1|7526372-7528430(+)
HUZ605895.3510	gi|390607167|gb|77937-78519(+)
CHARM066_V2.1421	mge|2693.1|68409-68931(-)
CHARM170_V2.13153	gi|823079903|gb|107-2234(+)
HUZ237575.35752	mge|2293.1|19266-20172(-)
2506733758	mge|2090.1|70093-71551(+)
EM02W9D2.30987	mge|2155.1|16492-18775(-)
HUZ252644.5444	mge|2654.1|23992-25555(-)
HUZ270021.3866	mge|2654.1|23992-25555(-)
2600965231	mge|2667.1|8121-9750(-)
HUZ648375.13411	mge|2753.1|20190-21318(-)
HUZ239360.22753	mge|2693.1|6541786-6543883(+)
HUZ433466.15665	mge|2693.1|6541786-6543883(+)
642759121	mge|2693.1|6541786-6543883(+)
HUZ651102.52375	gi|359472045|gb|21618-22623(+)
2512477500	gi|451937291|gb|8608-9247(-)
HMPREF0297_0989	gi|505833817|gb|59250-60204(+)
HUZ649701.18008	gi|601131888|gb|6018-6189(+)
HUZ650140.27991	gi|823080308|gb|59721-60252(+)
SRS017497.350-T1-C	gi|928541549|gb|58772-59726(+)
HUZ649360.12651	mge|2067.1|40798-42283(+)
HUZ436911.59641	mge|2087.1|14710-15121(-)
HUZ612660.23209	mge|2087.1|31795-32305(-)
HUZ647004.65359	mge|2090.1|71567-73100(+)
HUZ648375.20389	mge|2445.1|23931-25152(+)
CHARM010_V1.37111	mge|2455.1|44487-44691(+)
644276587	mge|2469.1|10567-11479(-)
